Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgMonthlyCharges,MonthlyChargesToTotalChargesRatio
Male,No,No,No,32,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),87.6500015258789,2766.39990234375,No,86.44999694824219,0.03168377841960595
Male,Yes,Yes,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.44999694824219,1622.449951171875,Yes,95.438232421875,0.06191253965996821
Female,No,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.75,1129.3499755859375,No,70.5843734741211,0.06618851694862583
Female,No,No,No,51,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),107.44999694824219,5680.89990234375,No,111.39019416360294,0.018914256331802624
Male,No,No,No,29,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),75.3499984741211,2243.89990234375,No,77.37585870150862,0.03357992858568162
Male,No,Yes,No,70,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),64.94999694824219,4523.25,No,64.61785714285715,0.01435914374581157
Female,No,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Electronic check,100.44999694824219,7159.7001953125,No,100.84084782130282,0.014029916645672876
Male,No,Yes,Yes,41,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),68.5,2839.949951171875,No,69.26707197980183,0.024120143374968355
Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.55000305175781,80.55000305175781,No,80.55000305175781,1.0
Female,No,Yes,No,7,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),81.25,580.0999755859375,No,82.87142508370536,0.14006206416046196
Male,No,Yes,Yes,25,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,90.4000015258789,2178.60009765625,Yes,87.14400390625,0.04149453661694578
Male,No,Yes,Yes,67,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,89.55000305175781,6038.5498046875,No,90.12760902518657,0.014829720040106898
Male,No,Yes,Yes,5,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,55.70000076293945,259.3999938964844,No,51.879998779296876,0.21472629943533067
Male,No,No,Yes,15,Yes,Yes,No,,,,,,,Month-to-month,Yes,Electronic check,24.799999237060547,324.1499938964844,No,21.60999959309896,0.0765077886905045
Female,No,Yes,Yes,20,Yes,No,No,,,,,,,Month-to-month,No,Electronic check,20.0,417.6499938964844,No,20.88249969482422,0.04788698741117916
Male,No,Yes,Yes,3,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,56.150001525878906,168.14999389648438,Yes,56.04999796549479,0.3339280616355281
Male,No,Yes,Yes,54,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,105.19999694824219,5637.85009765625,No,104.40463143807871,0.018659594548633994
Male,No,No,No,42,Yes,No,No,,,,,,,One year,Yes,Mailed check,19.549999237060547,839.4000244140625,No,19.985714867001487,0.023290443970033586
Female,No,Yes,No,9,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.75,769.0999755859375,No,85.45555284288194,0.1036926310383024
Female,No,No,No,63,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),97.44999694824219,6253.0,No,99.25396825396825,0.01558451894262629
Female,No,Yes,No,69,Yes,Yes,No,,,,,,,Two year,No,Bank transfer (automatic),24.25,1641.800048828125,No,23.79420360620471,0.01477037354049845
Female,No,No,No,69,Yes,Yes,No,,,,,,,Two year,No,Credit card (automatic),24.600000381469727,1678.050048828125,No,24.31956592504529,0.014659872867706935
Male,No,Yes,No,40,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,50.150001525878906,2058.5,No,51.4625,0.024362400546941415
Male,No,No,No,60,No,,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),39.599998474121094,2424.5,No,40.40833333333333,0.016333263961279064
Female,No,No,No,4,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),94.4000015258789,387.20001220703125,Yes,96.80000305175781,0.24380164914717087
Female,Yes,No,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,89.8499984741211,6293.4501953125,No,88.6401435959507,0.014276747362050047
Female,No,Yes,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),78.94999694824219,2839.64990234375,Yes,76.7472946579392,0.027802722047911455
Male,No,Yes,No,32,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.8499984741211,3145.89990234375,No,98.30937194824219,0.031421851153139405
Male,No,No,No,39,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),53.849998474121094,2200.699951171875,No,56.42820387620192,0.024469486830972078
Female,No,No,No,38,Yes,Yes,No,,,,,,,One year,Yes,Electronic check,24.25,914.4000244140625,No,24.06315853721217,0.02652012177661427
Male,No,No,No,52,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),89.44999694824219,4577.75,No,88.03365384615384,0.019540166446014348
Female,No,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),105.25,4997.5,No,104.11458333333333,0.021060530265132566
Male,No,Yes,Yes,70,No,,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),59.5,4144.7998046875,No,59.21142578125,0.014355337484022596
Male,No,No,No,20,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),70.55000305175781,1493.550048828125,No,74.67750244140625,0.047236450567634494
Female,No,No,No,50,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),82.5,4179.10009765625,No,83.582001953125,0.019741092118436738
Female,No,No,No,19,No,,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),44.849998474121094,893.5499877929688,Yes,47.02894672594572,0.05019304917109195
Male,No,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),61.599998474121094,1611.0,No,64.44,0.038237118854203035
Male,No,No,No,12,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.04999923706055,593.0499877929688,No,49.42083231608073,0.08270803515164002
Male,Yes,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.6500015258789,4284.7998046875,Yes,109.86666165865384,0.024656928291095316
Male,No,No,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,74.6500015258789,544.5499877929688,Yes,77.79285539899554,0.13708567293965293
Female,No,Yes,Yes,23,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,66.25,1533.800048828125,No,66.6869586447011,0.043193374554015194
Male,No,No,No,27,Yes,No,No,,,,,,,Month-to-month,Yes,Electronic check,19.399999618530273,529.7999877929688,No,19.622221770109952,0.036617591667652626
Male,Yes,No,No,47,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),86.05000305175781,3865.60009765625,No,82.24681058843085,0.022260451386042428
Male,No,Yes,Yes,26,Yes,No,No,,,,,,,Two year,Yes,Credit card (automatic),19.149999618530273,515.75,No,19.83653846153846,0.03713039189244842
Female,No,Yes,No,14,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),64.69999694824219,941.0,Yes,67.21428571428571,0.06875663862724993
Female,Yes,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.05000305175781,1133.6500244140625,Yes,103.05909312855114,0.09178317894496321
Male,No,No,Yes,2,Yes,No,No,,,,,,,Month-to-month,No,Mailed check,19.25,48.349998474121094,No,24.174999237060547,0.3981385854707605
Female,No,Yes,Yes,26,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,81.94999694824219,2070.050048828125,No,79.6173095703125,0.03958841333069935
Female,Yes,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.6500015258789,8333.9501953125,No,115.74930826822917,0.01375698184401975
Female,No,Yes,Yes,63,Yes,No,No,,,,,,,Two year,No,Credit card (automatic),20.0,1209.25,No,19.194444444444443,0.016539177175935497
Male,No,Yes,Yes,71,Yes,No,No,,,,,,,Two year,No,Mailed check,19.799999237060547,1396.25,No,19.66549295774648,0.014180840993418476
Male,No,Yes,Yes,11,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),65.1500015258789,723.3499755859375,No,65.75908868963069,0.09006705429568203
Male,Yes,Yes,No,14,Yes,No,No,,,,,,,One year,No,Mailed check,19.649999618530273,228.64999389648438,No,16.332142421177455,0.08593920902279283
Female,No,No,Yes,13,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),88.94999694824219,1161.75,No,89.36538461538461,0.07656552351903782
Male,No,No,Yes,6,Yes,No,No,,,,,,,Month-to-month,Yes,Mailed check,20.200000762939453,98.3499984741211,No,16.391666412353516,0.20538892807664552
Male,Yes,Yes,Yes,11,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.19999694824219,775.2999877929688,No,70.48181707208806,0.09699470931543872
Male,No,Yes,No,18,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),56.79999923706055,1074.6500244140625,No,59.702779134114586,0.052854415806699424
Male,No,No,No,1,No,,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.54999923706055,35.54999923706055,Yes,35.54999923706055,1.0
Female,No,Yes,No,32,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.5,2324.699951171875,No,72.6468734741211,0.0324773095822283
Male,No,No,No,29,No,,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,35.599998474121094,1072.5999755859375,No,36.9862060546875,0.03319037785235228
Female,No,No,No,3,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,60.25,170.5,No,56.833333333333336,0.3533724340175953
Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1500015258789,196.89999389648438,Yes,98.44999694824219,0.4832402461927034
Male,No,Yes,Yes,13,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,96.6500015258789,1162.8499755859375,Yes,89.4499981219952,0.08311476420436682
Female,No,No,No,41,No,,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,40.349998474121094,1677.8499755859375,No,40.923170136242376,0.024048633108588922
Female,No,No,No,1,Yes,No,No,,,,,,,Month-to-month,No,Electronic check,18.850000381469727,18.850000381469727,No,18.850000381469727,1.0
Male,No,No,No,7,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,54.849998474121094,370.3999938964844,No,52.91428484235491,0.14808315166832864
Female,No,Yes,No,52,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,64.30000305175781,3410.60009765625,No,65.58846341646634,0.018852988099057555
Female,No,Yes,Yes,45,Yes,Yes,No,,,,,,,Two year,Yes,Bank transfer (automatic),24.649999618530273,1138.800048828125,No,25.30666775173611,0.021645590588001994
Male,No,Yes,No,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),76.0999984741211,5264.25,No,75.20357142857142,0.014456000090064319
Female,No,No,No,53,Yes,No,No,,,,,,,Two year,No,Mailed check,18.700000762939453,1005.7000122070312,No,18.97547192843455,0.01859401465244281
Female,Yes,Yes,No,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),97.94999694824219,5936.5498046875,No,95.7508033014113,0.0164994820511572
Female,No,Yes,No,60,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.0999984741211,5475.89990234375,No,91.26499837239584,0.01718438980848521
Female,Yes,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.4000015258789,224.0500030517578,Yes,74.68333435058594,0.35884847324597313
Female,Yes,Yes,No,23,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0999984741211,2326.050048828125,No,101.13261081861413,0.04088476020627025
Male,No,No,Yes,1,No,,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,31.350000381469727,31.350000381469727,Yes,31.350000381469727,1.0
Female,No,No,No,67,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),72.3499984741211,4991.5,No,74.5,0.014494640583816706
Female,No,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4000244140625,Yes,87.7000020345052,0.08528125989921892
Female,Yes,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),82.69999694824219,5831.2001953125,No,82.12958021566901,0.014182328539281133
Male,No,No,No,25,Yes,No,No,,,,,,,One year,No,Credit card (automatic),19.899999618530273,510.79998779296875,No,20.43199951171875,0.038958496660332534
Female,No,No,No,5,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,53.79999923706055,283.95001220703125,No,56.79000244140625,0.1894699662764386
Male,No,No,No,26,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),51.54999923706055,1295.4000244140625,No,49.82307786207933,0.039794656681728664
Male,No,Yes,Yes,1,Yes,No,No,,,,,,,One year,No,Mailed check,19.649999618530273,19.649999618530273,No,19.649999618530273,1.0
Male,Yes,No,No,70,No,,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),44.04999923706055,3011.64990234375,No,43.023570033482144,0.014626533848698551
Male,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.0,8093.14990234375,No,112.40485975477431,0.014085986467022681
Male,No,Yes,No,60,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,94.4000015258789,5610.25,Yes,93.50416666666666,0.016826344909028814
Female,Yes,Yes,Yes,32,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.4000015258789,3217.64990234375,No,100.55155944824219,0.031202897945095617
Male,No,No,No,1,Yes,No,No,,,,,,,Month-to-month,Yes,Electronic check,19.850000381469727,19.850000381469727,Yes,19.850000381469727,1.0
Female,No,No,No,14,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,54.25,773.2000122070312,No,55.22857230050223,0.07016295802317457
Female,No,No,No,13,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.0,1029.3499755859375,No,79.18076735276442,0.07771895069455027
Female,No,No,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.9000015258789,669.4500122070312,Yes,111.5750020345052,0.16416461202765906
Female,No,No,No,46,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Mailed check,79.19999694824219,3593.800048828125,No,78.12608801800272,0.02203795310595199
Male,No,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.3499984741211,1553.949951171875,Yes,103.59666341145834,0.06522088977041401
Male,Yes,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.30000305175781,3953.14990234375,No,91.93371865915698,0.02385439595798001
Male,No,No,No,39,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),49.79999923706055,1971.1500244140625,No,50.542308318309296,0.025264438840399236
Male,Yes,No,No,21,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.04999923706055,1236.1500244140625,Yes,58.86428687686012,0.04857824539988531
Male,No,No,No,57,No,,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,53.75,3196.0,No,56.07017543859649,0.016817897371714643
Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,93.44999694824219,4872.2001953125,No,91.92830557193396,0.01918024572105013
Male,No,Yes,Yes,18,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,87.9000015258789,1500.5,No,83.36111111111111,0.05858047419252176
Female,No,No,No,1,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,60.150001525878906,60.150001525878906,Yes,60.150001525878906,1.0
Female,No,Yes,No,58,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),61.04999923706055,3478.75,No,59.97844827586207,0.017549406895310253
Female,Yes,No,No,71,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),104.05000305175781,7413.5498046875,No,104.4161944322183,0.01403511216529067
Female,No,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.25,3532.0,No,100.91428571428571,0.02810022650056625
Male,No,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),85.69999694824219,256.75,No,85.58333333333333,0.3337877193699793
Male,No,No,No,38,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.8499984741211,3887.25,No,102.29605263157895,0.026972795285644374
Male,No,Yes,Yes,35,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),69.1500015258789,2490.14990234375,No,71.14714006696428,0.027769413183035423
Male,No,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.44999694824219,593.4500122070312,Yes,84.77857317243304,0.1524138429315387
Female,No,No,No,47,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,74.44999694824219,3510.300048828125,No,74.68723508144947,0.021209012310242966
Female,No,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,50.45000076293945,765.4500122070312,No,54.675000871930806,0.06590894239778815
Female,Yes,Yes,No,20,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,60.0,1259.3499755859375,No,62.967498779296875,0.04764362660354506
Male,No,Yes,No,66,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,85.25,5538.35009765625,No,83.9143954190341,0.015392670830989282
Male,No,Yes,No,15,Yes,No,No,,,,,,,Month-to-month,Yes,Credit card (automatic),19.450000762939453,340.8500061035156,No,22.723333740234374,0.057063225508737464
Female,No,No,No,42,Yes,No,No,,,,,,,Two year,Yes,Bank transfer (automatic),20.75,844.4500122070312,No,20.105952671595983,0.024572206406591638
Female,No,Yes,No,17,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,78.9000015258789,1348.949951171875,No,79.34999712775735,0.05848993986569777
Male,No,No,No,37,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),104.5,3778.0,No,102.10810810810811,0.027660137638962416
Female,No,No,No,12,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,49.400001525878906,611.6500244140625,No,50.97083536783854,0.08076514273534482
Male,No,Yes,No,53,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.25,4867.9501953125,Yes,91.84811689268868,0.019361332022409812
Female,No,No,No,60,Yes,Yes,No,,,,,,,Two year,No,Mailed check,25.0,1505.050048828125,No,25.08416748046875,0.016610743290208663
Male,No,Yes,Yes,18,No,,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),25.549999237060547,467.8500061035156,No,25.99166700575087,0.054611518443386325
Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9000015258789,74.9000015258789,Yes,74.9000015258789,1.0
Female,No,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.1500015258789,194.1999969482422,No,64.73333231608073,0.3612255542134491
Female,No,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.4000015258789,571.4500122070312,No,63.49444580078125,0.12144544587171328
Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.25,80.25,Yes,80.25,1.0
Male,No,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,93.1500015258789,5253.9501953125,No,93.82053920200893,0.017729517422716723
Male,No,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.0,1149.6500244140625,Yes,67.62647202435662,0.060018265154360304
Female,No,Yes,Yes,11,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,66.3499984741211,740.7999877929688,Yes,67.34545343572444,0.08956533418931956
Male,No,No,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55000305175781,521.3499755859375,No,74.47856794084821,0.1334036756664112
Female,No,Yes,Yes,69,Yes,No,No,,,,,,,Two year,No,Bank transfer (automatic),20.200000762939453,1412.6500244140625,No,20.473188759624094,0.01429936673191082
Male,No,No,No,19,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.0,1532.449951171875,Yes,80.65526058799342,0.056119287898593495
Female,No,Yes,Yes,3,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.30000305175781,250.0500030517578,Yes,83.35000101725261,0.3211357811306906
Male,No,Yes,Yes,54,Yes,No,No,,,,,,,Two year,No,Credit card (automatic),20.399999618530273,1090.5999755859375,No,20.19629584418403,0.018705299903908523
Male,No,Yes,No,62,Yes,Yes,No,,,,,,,One year,Yes,Credit card (automatic),23.75,1446.800048828125,No,23.335484658518144,0.016415537184448506
Male,No,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.55000305175781,2282.550048828125,Yes,95.1062520345052,0.0396705443975902
Female,No,Yes,Yes,62,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),70.44999694824219,4300.4501953125,No,69.36209992439517,0.01638200508054548
Male,No,No,No,17,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),65.75,1111.199951171875,No,65.36470301011029,0.059170268978737665
Male,No,No,No,9,No,,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,24.600000381469727,190.10000610351562,No,21.122222900390625,0.1294055738644965
Male,No,Yes,Yes,64,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Mailed check,69.25,4447.75,No,69.49609375,0.015569670057894442
Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.9000015258789,143.35000610351562,Yes,71.67500305175781,0.5294733051568212
Male,No,Yes,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.849998474121094,45.849998474121094,Yes,45.849998474121094,1.0
Female,No,Yes,No,16,No,,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,49.95000076293945,810.2000122070312,Yes,50.63750076293945,0.06165144410066446
Female,No,Yes,No,72,Yes,Yes,No,,,,,,,Two year,No,Bank transfer (automatic),24.649999618530273,1830.050048828125,No,25.417361789279514,0.01346957676611901
Male,No,No,No,30,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),90.4000015258789,2820.64990234375,No,94.02166341145833,0.03204935197762872
Female,No,Yes,No,49,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,100.8499984741211,4847.35009765625,No,98.92551219706633,0.020805181479027733
Male,No,Yes,No,61,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),75.3499984741211,4729.2998046875,No,77.52950499487704,0.015932590782135884
Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,87.19999694824219,4017.449951171875,No,85.4776585355718,0.021705310086764434
Male,No,No,No,20,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),64.4000015258789,1398.5999755859375,No,69.92999877929688,0.04604604794083369
Male,No,Yes,Yes,34,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,78.30000305175781,2564.300048828125,Yes,75.42058967141544,0.030534649440708238
Female,No,Yes,Yes,70,Yes,Yes,No,,,,,,,Two year,No,Bank transfer (automatic),24.700000762939453,1685.9000244140625,No,24.084286063058034,0.014650928527938057
Male,No,No,Yes,54,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,105.8499984741211,5826.64990234375,No,107.90092411747685,0.01816652797888943
Male,Yes,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,98.30000305175781,6066.5498046875,No,99.45163614241804,0.016203609335870513
Male,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.94999694824219,228.39999389648438,Yes,76.13333129882812,0.33690892734050387
Male,No,No,No,13,Yes,No,No,,,,,,,One year,No,Mailed check,19.450000762939453,270.20001220703125,No,20.78461632361779,0.07198371533764615
Female,Yes,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.1500015258789,1529.199951171875,Yes,95.57499694824219,0.06287601660737438
Female,No,Yes,Yes,3,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),58.70000076293945,168.60000610351562,No,56.20000203450521,0.34816132050967613
Male,No,No,No,25,Yes,No,No,,,,,,,Month-to-month,Yes,Mailed check,20.149999618530273,536.3499755859375,No,21.4539990234375,0.0375687527467813
